iter	Passed	Remaining
0	16	3310
1	37	3675
2	56	3698
3	75	3697
4	92	3615
5	110	3582
6	129	3564
7	145	3499
8	165	3502
9	185	3525
10	194	3350
11	213	3340
12	231	3323
13	250	3323
14	272	3358
15	290	3335
16	309	3329
17	328	3326
18	348	3320
19	368	3312
20	389	3318
21	397	3216
22	414	3186
23	431	3167
24	450	3151
25	469	3143
26	488	3133
27	507	3117
28	526	3104
29	546	3095
30	564	3076
31	581	3054
32	601	3042
33	619	3022
34	638	3008
35	655	2985
36	673	2967
37	692	2954
38	712	2942
39	731	2924
40	748	2903
41	769	2894
42	790	2884
43	815	2891
44	835	2876
45	857	2870
46	876	2854
47	897	2841
48	905	2790
49	923	2769
50	941	2751
51	961	2736
52	969	2689
53	986	2667
54	1003	2645
55	1023	2632
56	1042	2616
57	1061	2598
58	1079	2580
59	1098	2562
60	1117	2545
61	1135	2528
62	1153	2508
63	1171	2489
64	1191	2473
65	1211	2458
66	1229	2440
67	1248	2422
68	1268	2408
69	1289	2394
70	1307	2374
71	1326	2358
72	1347	2344
73	1366	2327
74	1386	2311
75	1405	2292
76	1423	2274
77	1441	2254
78	1459	2234
79	1477	2215
80	1494	2195
81	1512	2177
82	1532	2159
83	1551	2143
84	1570	2124
85	1588	2105
86	1605	2084
87	1623	2066
88	1641	2046
89	1658	2027
90	1677	2009
91	1697	1992
92	1715	1974
93	1733	1955
94	1753	1938
95	1775	1923
96	1795	1906
97	1815	1889
98	1834	1871
99	1851	1851
100	1869	1832
101	1890	1816
102	1908	1797
103	1925	1777
104	1944	1759
105	1963	1741
106	1982	1722
107	2000	1703
108	2017	1684
109	2036	1666
110	2056	1648
111	2075	1630
112	2093	1611
113	2112	1593
114	2130	1574
115	2147	1555
116	2166	1536
117	2184	1517
118	2202	1499
119	2223	1482
120	2243	1464
121	2265	1448
122	2287	1432
123	2307	1414
124	2326	1395
125	2345	1377
126	2365	1359
127	2386	1342
128	2405	1324
129	2424	1305
130	2442	1286
131	2460	1267
132	2480	1249
133	2497	1230
134	2516	1211
135	2533	1192
136	2554	1174
137	2574	1156
138	2593	1138
139	2612	1119
140	2630	1100
141	2647	1081
142	2666	1062
143	2685	1044
144	2703	1025
145	2723	1007
146	2744	989
147	2765	971
148	2786	953
149	2806	935
150	2825	916
151	2845	898
152	2865	880
153	2883	861
154	2902	842
155	2923	824
156	2943	806
157	2961	787
158	2981	768
159	2999	749
160	3017	730
161	3034	711
162	3054	693
163	3074	674
164	3093	656
165	3111	637
166	3129	618
167	3148	599
168	3165	580
169	3184	561
170	3190	541
171	3207	522
172	3226	503
173	3245	484
174	3267	466
175	3287	448
176	3308	429
177	3327	411
178	3346	392
179	3366	374
180	3385	355
181	3406	336
182	3425	318
183	3445	299
184	3463	280
185	3482	262
186	3500	243
187	3519	224
188	3537	205
189	3557	187
190	3576	168
191	3596	149
192	3616	131
193	3634	112
194	3652	93
195	3672	74
196	3691	56
197	3709	37
198	3729	18
199	3748	0
