iter	Passed	Remaining
0	156	78342
1	171	42632
2	184	30501
3	197	24483
4	211	20948
5	241	19848
6	255	17977
7	268	16533
8	281	15368
9	295	14495
10	309	13763
11	324	13185
12	340	12740
13	353	12283
14	368	11908
15	381	11535
16	405	11523
17	419	11246
18	433	10982
19	447	10729
20	461	10524
21	480	10437
22	495	10270
23	509	10109
24	523	9950
25	538	9812
26	554	9713
27	569	9596
28	583	9477
29	598	9371
30	612	9262
31	626	9161
32	640	9068
33	655	8984
34	668	8886
35	682	8793
36	695	8708
37	713	8671
38	728	8609
39	741	8530
40	756	8473
41	769	8394
42	783	8327
43	798	8279
44	813	8229
45	828	8172
46	844	8138
47	859	8089
48	873	8041
49	889	8009
50	907	7989
51	921	7941
52	937	7910
53	953	7871
54	968	7833
55	988	7840
56	1006	7822
57	1021	7783
58	1036	7747
59	1050	7707
60	1065	7665
61	1080	7629
62	1094	7593
63	1108	7549
64	1122	7515
65	1137	7482
66	1155	7467
67	1171	7443
68	1191	7440
69	1212	7448
70	1227	7418
71	1243	7389
72	1258	7359
73	1273	7330
74	1287	7298
75	1303	7269
76	1316	7231
77	1333	7214
78	1348	7186
79	1362	7152
80	1401	7250
81	1468	7483
82	1489	7483
83	1503	7444
84	1526	7454
85	1543	7428
86	1559	7401
87	1572	7361
88	1585	7321
89	1599	7287
90	1614	7254
91	1627	7217
92	1641	7183
93	1654	7147
94	1667	7109
95	1681	7077
96	1695	7043
97	1710	7017
98	1725	6990
99	1739	6959
100	1753	6927
101	1765	6890
102	1779	6857
103	1792	6824
104	1805	6793
105	1818	6759
106	1830	6723
107	1843	6691
108	1856	6661
109	1873	6642
110	1891	6628
111	1905	6601
112	1921	6581
113	1941	6575
114	1959	6560
115	1975	6541
116	1992	6523
117	2010	6508
118	2028	6495
119	2049	6491
120	2066	6471
121	2089	6473
122	2103	6447
123	2117	6421
124	2131	6394
125	2144	6365
126	2158	6339
127	2172	6314
128	2187	6290
129	2202	6267
130	2217	6246
131	2234	6229
132	2248	6205
133	2263	6183
134	2279	6163
135	2297	6148
136	2321	6149
137	2337	6130
138	2356	6120
139	2377	6113
140	2392	6092
141	2407	6068
142	2424	6053
143	2441	6034
144	2455	6010
145	2470	5989
146	2483	5963
147	2499	5944
148	2513	5920
149	2526	5895
150	2542	5876
151	2557	5856
152	2572	5833
153	2587	5813
154	2602	5793
155	2619	5775
156	2633	5754
157	2649	5733
158	2664	5715
159	2683	5702
160	2699	5683
161	2715	5665
162	2730	5645
163	2745	5625
164	2760	5605
165	2774	5581
166	2788	5559
167	2803	5539
168	2819	5521
169	2833	5500
170	2847	5479
171	2872	5478
172	2892	5466
173	2908	5449
174	2927	5436
175	2944	5419
176	2958	5399
177	2972	5376
178	2986	5355
179	3000	5334
180	3014	5312
181	3028	5291
182	3042	5269
183	3055	5247
184	3069	5225
185	3083	5204
186	3096	5183
187	3109	5161
188	3124	5141
189	3137	5119
190	3151	5098
191	3165	5077
192	3179	5058
193	3194	5038
194	3208	5018
195	3222	4997
196	3237	4979
197	3250	4957
198	3264	4937
199	3278	4917
200	3292	4898
201	3307	4879
202	3320	4858
203	3334	4838
204	3347	4817
205	3366	4803
206	3387	4794
207	3403	4777
208	3421	4764
209	3436	4745
210	3459	4738
211	3477	4724
212	3495	4709
213	3512	4693
214	3526	4675
215	3540	4654
216	3557	4639
217	3573	4622
218	3588	4604
219	3603	4585
220	3618	4568
221	3632	4548
222	3645	4528
223	3660	4510
224	3674	4490
225	3689	4472
226	3704	4454
227	3719	4436
228	3734	4419
229	3747	4398
230	3761	4380
231	3775	4361
232	3789	4342
233	3804	4324
234	3818	4306
235	3832	4287
236	3847	4269
237	3865	4255
238	3881	4239
239	3895	4220
240	3915	4207
241	3931	4191
242	3951	4178
243	3964	4159
244	3980	4142
245	3993	4123
246	4008	4105
247	4022	4087
